Source,Dataset name,Dataset Tag,Dataset save name,Done?,Link,Probe from,Probe to,Data type,Notes,,,# continuous,# multiclass,# binary,,Lot of data here,,,,,
GPT 2,gpt 2 outputs ?,ai_gen,cleaned_data/94_ai_gen.csv,Yes,https://huggingface.co/datasets/andythetechnerd03/AI-human-text?library=datasets,sentence,gpt2 or not,Binary Classification,CHECK CHECK CHECK,,,,,,,,,,,,
Cjadams et al. [2017],jigsaw - toxicity,toxic_is,cleaned_data/95_toxic_is.csv,Yes,https://huggingface.co/datasets/lmsys/toxic-chat?library=pandas,sentence,is toxic,Binary Classification,,,,,,,,,,,,,
Kaggle,spam classifier,spam_is,cleaned_data/96_spam_is.csv,Yes,https://www.kaggle.com/datasets/team-ai/spam-text-message-classification,text message,spam or not,Binary Classification,,,,,,,,,,,,,
,text classification,news_class,cleaned_data/97_news_class.csv,Yes,https://www.kaggle.com/datasets/tanishqdublish/text-classification-documentation,headline,news category,Multiclass Classification,,,,,,,,,,,,,
,cancer type,cancer_cat,cleaned_data/98_cancer_cat.csv,Yes,https://www.kaggle.com/datasets/falgunipatel19/biomedical-text-publication-classification,statement,cancer relation,Multiclass Classification,3 categories,,,,,,,,,,,,
,science type,sci_cat,cleaned_data/99_sci_cat.csv,Yes,https://www.kaggle.com/datasets/vivmankar/physics-vs-chemistry-vs-biology,statement,phys/chem/bio,Multiclass Classification,,,,,,,,,,,,,
,fake news?,news_fake,cleaned_data/100_news_fake.csv,Yes,https://www.kaggle.com/datasets/clmentbisaillon/fake-and-real-news-dataset,news headline,fake/real,Binary Classification,,,,,,,,,,,,,
,medical text,disease_class,cleaned_data/101_disease_class.csv,Yes,https://www.kaggle.com/datasets/chaitanyakck/medical-text,abstract ,disease type,Multiclass Classification,5 categories,,,,,,,,,,,,
,sentiment analysis,twt_emotion,cleaned_data/102_twt_emotion.csv,Yes,https://www.kaggle.com/datasets/pashupatigupta/emotion-detection-from-text,sentence,emotion,Multiclass Classification,~6 categories?,,,,,,,,,,,,
,IT requests,it_tick,cleaned_data/103_it_tick.csv,Yes,https://www.kaggle.com/datasets/adisongoh/it-service-ticket-classification-dataset,it request,category,Multiclass Classification,get rid of miscellaneous. ~10 categories,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,clickbait news,click_bait,cleaned_data/105_click_bait.csv,Yes,https://huggingface.co/datasets/rkotari/clickbait,text,clickbait?,Binary Classification,,,,,,,,,,,,,
,hate speech,hate_hate,cleaned_data/106_hate_hate.csv,Yes,https://raw.githubusercontent.com/t-davidson/hate-speech-and-offensive-language/refs/heads/master/data/labeled_data.csv,text,hate/offensive/not,Binary Classification,could make this binary,,,,,,,,,,,,
,,hate_offensive,cleaned_data/107_hate_offensive.csv,Yes,,,,Binary Classification,,,,,,,,,,,,,
Subhash can do,athlete sport,athlete_sport,cleaned_data/108_athlete_sport.csv,Yes,,athlete name,sport,Multiclass Classification,baseball football basketball,,,,,,,,,,,,
I have this data,,ball_ws,cleaned_data/109_ball_ws.csv,Yes,,basketball player,win shares,Continuous Data,effectively how good the player was,,,,,,,,,,,,
,human vs gpt3 text,aimade_humangpt3,cleaned_data/110_aimade_humangpt3.csv,Yes,https://github.com/HarshOza36/Detection-Of-Machine-Generated-Text/blob/master/data/Final%20Dataset.zip,text,human/ai?,Binary Classification,,,,,,,,,,,,,
Hidden factors and hidden topics: understanding rating dimensions with review text,Yelp Reviews,yelp_data,cleaned_data/111_yelp_data.csv,Yes,https://huggingface.co/datasets/Yelp/yelp_review_full,User review,Star Rating,Continuous Data,Cited in Leo Gao SAE paper,,,,,,,,,,,,
,Amazon Reviews,amzn_rev,cleaned_data/112_amzn_rev.csv,Yes,https://huggingface.co/datasets/hugginglearners/amazon-reviews-sentiment-analysis,User review,Star Rating,Continuous Data,,,,,,,,,,,,,
,Movie reviews,movie_sent,cleaned_data/113_movie_sent.csv,Yes,https://huggingface.co/datasets/cornell-movie-review-data/rotten_tomatoes?library=pandas,User review,pos/neg,Binary Classification,,,,,,,,,,,,,
MULTICLASS,nyc_borough,nyc_borough_Manhattan,cleaned_data/114_nyc_borough_Manhattan.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,nyc_borough_Brooklyn,cleaned_data/115_nyc_borough_Brooklyn.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,nyc_borough_Bronx,cleaned_data/116_nyc_borough_Bronx.csv,,,,,Binary Classification,,,,,,,,,,,,,
,us_state,us_state_FL,cleaned_data/117_us_state_FL.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,us_state_CA,cleaned_data/118_us_state_CA.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,us_state_TX,cleaned_data/119_us_state_TX.csv,,,,,Binary Classification,,,,,,,,,,,,,
,us_timezone,us_timezone_Chicago,cleaned_data/120_us_timezone_Chicago.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,us_timezone_New_York,cleaned_data/121_us_timezone_New_York.csv,,,,,Binary Classification,,,,,,,,,,,,,
,,us_timezone_Los_Angeles,cleaned_data/122_us_timezone_Los_Angeles.csv,,,,,Binary Classification,,,,,,,,,,,,,
,world_country,world_country_United_Kingdom,cleaned_data/123_world_country_United_Kingdom.csv,,,,,Binary Classification,,,,,,,,,,,,,
